Driver,DriverNumber,LapTime,LapNumber,Stint,Sector1Time,Sector2Time,Sector3Time,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,TrackStatus,Session
RUS,63,93.03,2.0,1.0,24.276,28.182,40.572,276.0,264.0,259.0,318.0,True,MEDIUM,2.0,True,Mercedes,1,SQ
RUS,63,92.241,5.0,2.0,24.062,27.79,40.389,275.0,265.0,255.0,320.0,True,MEDIUM,2.0,True,Mercedes,1,SQ
RUS,63,135.844,6.0,2.0,33.777,42.586,59.481,198.0,213.0,280.0,258.0,False,MEDIUM,3.0,True,Mercedes,1,SQ
RUS,63,92.293,7.0,2.0,24.226,27.831,40.236,274.0,259.0,256.0,316.0,False,MEDIUM,4.0,True,Mercedes,1,SQ
RUS,63,91.52,10.0,3.0,23.962,27.569,39.989,269.0,255.0,260.0,313.0,True,SOFT,2.0,True,Mercedes,1,SQ
RUS,63,123.622,11.0,3.0,33.731,41.687,48.204,204.0,179.0,282.0,291.0,False,SOFT,3.0,True,Mercedes,1,SQ
RUS,63,91.707,12.0,3.0,23.974,27.627,40.106,271.0,252.0,258.0,315.0,False,SOFT,4.0,True,Mercedes,1,SQ
ANT,12,93.455,2.0,1.0,24.508,28.154,40.793,279.0,269.0,254.0,314.0,True,MEDIUM,2.0,True,Mercedes,1,SQ
ANT,12,92.57,5.0,2.0,24.308,27.903,40.359,276.0,261.0,257.0,318.0,True,MEDIUM,2.0,True,Mercedes,1,SQ
ANT,12,128.639,6.0,2.0,32.251,41.142,55.246,192.0,183.0,278.0,176.0,False,MEDIUM,3.0,True,Mercedes,1,SQ
ANT,12,92.291,7.0,2.0,24.204,27.806,40.281,274.0,259.0,258.0,317.0,True,MEDIUM,4.0,True,Mercedes,1,SQ
ANT,12,91.88,10.0,3.0,23.966,27.558,40.356,272.0,251.0,259.0,313.0,True,SOFT,2.0,True,Mercedes,1,SQ
ANT,12,124.484,11.0,3.0,31.58,43.059,49.845,181.0,172.0,280.0,263.0,False,SOFT,3.0,True,Mercedes,1,SQ
ANT,12,91.809,12.0,3.0,23.998,27.598,40.213,271.0,260.0,257.0,313.0,True,SOFT,4.0,True,Mercedes,1,SQ
NOR,1,113.772,2.0,1.0,26.331,31.92,55.521,273.0,234.0,275.0,95.0,True,MEDIUM,2.0,True,McLaren,1,SQ
NOR,1,93.783,3.0,1.0,24.587,28.412,40.784,289.0,275.0,259.0,313.0,True,MEDIUM,3.0,True,McLaren,1,SQ
NOR,1,111.264,6.0,2.0,28.048,30.49,52.726,264.0,264.0,275.0,303.0,True,MEDIUM,2.0,True,McLaren,1,SQ
NOR,1,93.163,7.0,2.0,24.356,28.181,40.626,288.0,274.0,258.0,314.0,True,MEDIUM,3.0,True,McLaren,1,SQ
NOR,1,127.3,8.0,2.0,31.866,38.53,56.904,195.0,215.0,275.0,163.0,False,MEDIUM,4.0,True,McLaren,1,SQ
NOR,1,93.086,9.0,2.0,24.451,28.086,40.549,281.0,271.0,258.0,312.0,True,MEDIUM,5.0,True,McLaren,1,SQ
NOR,1,92.141,12.0,3.0,23.961,27.616,40.564,278.0,272.0,259.0,306.0,True,SOFT,2.0,True,McLaren,1,SQ
PIA,81,109.171,2.0,1.0,28.415,32.389,48.367,267.0,266.0,275.0,290.0,True,MEDIUM,2.0,True,McLaren,1,SQ
PIA,81,93.813,3.0,1.0,24.517,28.436,40.86,289.0,275.0,259.0,312.0,True,MEDIUM,3.0,True,McLaren,1,SQ
PIA,81,113.82,6.0,2.0,28.163,32.976,52.681,277.0,258.0,276.0,193.0,True,MEDIUM,2.0,True,McLaren,1,SQ
PIA,81,93.146,7.0,2.0,24.363,28.129,40.654,288.0,275.0,258.0,312.0,True,MEDIUM,3.0,True,McLaren,1,SQ
PIA,81,126.217,8.0,2.0,33.583,37.124,55.51,208.0,187.0,277.0,252.0,False,MEDIUM,4.0,True,McLaren,1,SQ
PIA,81,93.038,9.0,2.0,24.368,28.101,40.569,289.0,273.0,257.0,313.0,True,MEDIUM,5.0,True,McLaren,1,SQ
PIA,81,92.224,12.0,3.0,23.913,27.793,40.518,285.0,272.0,258.0,307.0,True,SOFT,2.0,True,McLaren,1,SQ
LEC,16,94.248,2.0,1.0,24.506,28.67,41.072,269.0,273.0,261.0,311.0,True,MEDIUM,2.0,True,Ferrari,1,SQ
LEC,16,126.713,3.0,1.0,35.198,33.441,58.074,235.0,232.0,276.0,132.0,False,MEDIUM,3.0,True,Ferrari,1,SQ
LEC,16,93.423,4.0,1.0,24.395,28.29,40.738,269.0,273.0,266.0,310.0,True,MEDIUM,4.0,True,Ferrari,1,SQ
LEC,16,127.438,5.0,1.0,32.139,40.235,55.064,206.0,165.0,277.0,221.0,False,MEDIUM,5.0,True,Ferrari,1,SQ
LEC,16,93.194,6.0,1.0,24.492,28.15,40.552,273.0,274.0,261.0,311.0,True,MEDIUM,6.0,True,Ferrari,1,SQ
LEC,16,92.602,9.0,2.0,24.184,28.106,40.312,272.0,270.0,255.0,312.0,True,MEDIUM,2.0,True,Ferrari,1,SQ
LEC,16,92.732,13.0,4.0,24.13,28.243,40.359,272.0,260.0,254.0,304.0,True,SOFT,2.0,True,Ferrari,1,SQ
LEC,16,121.526,14.0,4.0,33.287,37.211,51.028,173.0,186.0,278.0,280.0,False,SOFT,3.0,True,Ferrari,1,SQ
LEC,16,92.528,15.0,4.0,24.105,27.77,40.653,273.0,276.0,252.0,299.0,True,SOFT,4.0,True,Ferrari,1,SQ
HAM,44,93.73,2.0,1.0,24.74,28.122,40.868,271.0,273.0,263.0,314.0,True,MEDIUM,2.0,True,Ferrari,1,SQ
HAM,44,133.715,3.0,1.0,35.236,44.23,54.249,206.0,178.0,275.0,263.0,False,MEDIUM,3.0,True,Ferrari,1,SQ
HAM,44,93.148,4.0,1.0,24.684,28.061,40.403,272.0,277.0,256.0,318.0,True,MEDIUM,4.0,True,Ferrari,1,SQ
HAM,44,93.26,7.0,2.0,24.464,28.377,40.419,271.0,277.0,261.0,315.0,True,MEDIUM,2.0,True,Ferrari,1,SQ
HAM,44,128.727,8.0,2.0,34.941,41.25,52.536,196.0,219.0,277.0,259.0,False,MEDIUM,3.0,True,Ferrari,1,SQ
HAM,44,93.042,9.0,2.0,24.503,28.12,40.419,270.0,277.0,256.0,310.0,True,MEDIUM,4.0,True,Ferrari,1,SQ
HAM,44,92.161,12.0,3.0,24.11,27.694,40.357,267.0,278.0,266.0,306.0,True,SOFT,2.0,True,Ferrari,1,SQ
HAM,44,129.992,13.0,3.0,32.308,42.912,54.772,204.0,178.0,275.0,197.0,False,SOFT,3.0,True,Ferrari,1,SQ
HAM,44,92.505,14.0,3.0,24.227,27.719,40.559,270.0,278.0,254.0,303.0,False,SOFT,4.0,True,Ferrari,1,SQ
BEA,87,106.37,2.0,1.0,27.352,31.206,47.812,282.0,271.0,275.0,247.0,True,MEDIUM,2.0,True,Haas F1 Team,1,SQ
BEA,87,94.28,3.0,1.0,24.788,28.44,41.052,279.0,271.0,264.0,313.0,True,MEDIUM,3.0,True,Haas F1 Team,1,SQ
BEA,87,127.784,4.0,1.0,37.335,39.721,50.728,209.0,125.0,272.0,277.0,False,MEDIUM,4.0,True,Haas F1 Team,1,SQ
BEA,87,116.83,5.0,1.0,28.877,32.079,55.874,231.0,273.0,276.0,275.0,False,MEDIUM,5.0,True,Haas F1 Team,1,SQ
BEA,87,95.16,6.0,1.0,24.772,28.254,42.134,280.0,273.0,227.0,315.0,False,MEDIUM,6.0,True,Haas F1 Team,1,SQ
BEA,87,93.999,9.0,2.0,24.661,28.484,40.854,280.0,267.0,244.0,317.0,True,MEDIUM,2.0,True,Haas F1 Team,1,SQ
BEA,87,125.707,10.0,2.0,37.846,39.108,48.753,165.0,271.0,190.0,288.0,False,MEDIUM,3.0,True,Haas F1 Team,1,SQ
BEA,87,118.129,11.0,2.0,33.516,32.058,52.555,233.0,270.0,277.0,274.0,False,MEDIUM,4.0,True,Haas F1 Team,1,SQ
BEA,87,93.501,12.0,2.0,24.56,28.196,40.745,280.0,272.0,255.0,314.0,True,MEDIUM,5.0,True,Haas F1 Team,1,SQ
BEA,87,93.409,15.0,3.0,24.401,28.079,40.929,277.0,272.0,262.0,312.0,True,SOFT,9.0,False,Haas F1 Team,1,SQ
VER,3,94.5,2.0,1.0,24.866,28.711,40.923,285.0,277.0,259.0,318.0,True,MEDIUM,2.0,True,Red Bull Racing,1,SQ
VER,3,125.748,3.0,1.0,36.509,37.36,51.879,224.0,243.0,279.0,265.0,False,MEDIUM,3.0,True,Red Bull Racing,1,SQ
VER,3,94.181,4.0,1.0,24.753,28.669,40.759,287.0,279.0,256.0,318.0,True,MEDIUM,4.0,True,Red Bull Racing,1,SQ
VER,3,124.607,5.0,1.0,35.932,38.599,50.076,188.0,252.0,278.0,200.0,False,MEDIUM,5.0,True,Red Bull Racing,1,SQ
VER,3,94.17,6.0,1.0,24.821,28.509,40.84,287.0,283.0,259.0,317.0,True,MEDIUM,6.0,True,Red Bull Racing,1,SQ
VER,3,93.564,9.0,2.0,24.6,28.432,40.532,287.0,280.0,261.0,313.0,True,MEDIUM,2.0,True,Red Bull Racing,1,SQ
VER,3,125.661,10.0,2.0,34.757,38.538,52.366,170.0,255.0,278.0,189.0,False,MEDIUM,3.0,True,Red Bull Racing,1,SQ
VER,3,97.553,11.0,2.0,24.667,28.43,44.456,286.0,282.0,142.0,312.0,False,MEDIUM,4.0,True,Red Bull Racing,1,SQ
VER,3,93.254,14.0,3.0,24.404,28.258,40.592,281.0,277.0,263.0,305.0,True,SOFT,2.0,True,Red Bull Racing,1,SQ
VER,3,121.137,15.0,3.0,33.968,38.191,48.978,181.0,242.0,280.0,288.0,False,SOFT,3.0,True,Red Bull Racing,1,SQ
VER,3,96.396,16.0,3.0,24.434,28.263,43.699,281.0,275.0,150.0,303.0,False,SOFT,4.0,True,Red Bull Racing,1,SQ
HUL,27,103.4,2.0,1.0,26.944,31.201,45.255,268.0,258.0,278.0,264.0,True,MEDIUM,2.0,True,Audi,1,SQ
HUL,27,93.997,3.0,1.0,24.852,28.51,40.635,288.0,284.0,265.0,319.0,True,MEDIUM,3.0,True,Audi,1,SQ
HUL,27,125.376,4.0,1.0,33.195,41.764,50.417,176.0,169.0,275.0,226.0,False,MEDIUM,4.0,True,Audi,1,SQ
HUL,27,94.159,5.0,1.0,24.748,28.415,40.996,287.0,283.0,254.0,321.0,False,MEDIUM,5.0,True,Audi,1,SQ
HUL,27,122.495,6.0,1.0,33.289,40.882,48.324,172.0,205.0,276.0,246.0,False,MEDIUM,6.0,True,Audi,1,SQ
HUL,27,94.022,7.0,1.0,24.701,28.468,40.853,289.0,284.0,263.0,316.0,False,MEDIUM,7.0,True,Audi,1,SQ
HUL,27,108.241,10.0,2.0,27.597,31.736,48.908,272.0,261.0,277.0,255.0,True,MEDIUM,2.0,True,Audi,1,SQ
HUL,27,93.635,11.0,2.0,24.701,28.261,40.673,286.0,280.0,267.0,315.0,True,MEDIUM,3.0,True,Audi,1,SQ
HUL,27,127.984,12.0,2.0,33.351,40.735,53.898,171.0,214.0,277.0,286.0,False,MEDIUM,4.0,True,Audi,1,SQ
HUL,27,93.661,13.0,2.0,24.629,28.262,40.77,288.0,281.0,265.0,319.0,False,MEDIUM,5.0,True,Audi,1,SQ
GAS,10,94.52,2.0,1.0,24.64,28.617,41.263,282.0,273.0,254.0,322.0,True,MEDIUM,2.0,True,Alpine,1,SQ
GAS,10,124.197,3.0,1.0,35.03,36.406,52.761,182.0,247.0,254.0,290.0,False,MEDIUM,3.0,True,Alpine,1,SQ
GAS,10,121.099,4.0,1.0,29.022,35.184,56.893,251.0,245.0,278.0,233.0,False,MEDIUM,4.0,True,Alpine,1,SQ
GAS,10,93.97,5.0,1.0,24.515,28.334,41.121,284.0,276.0,252.0,317.0,True,MEDIUM,5.0,True,Alpine,1,SQ
GAS,10,93.571,8.0,2.0,24.451,28.407,40.713,283.0,273.0,253.0,322.0,True,MEDIUM,2.0,True,Alpine,1,SQ
GAS,10,123.598,9.0,2.0,37.326,36.286,49.986,206.0,249.0,244.0,305.0,False,MEDIUM,3.0,True,Alpine,1,SQ
GAS,10,123.362,10.0,2.0,31.535,37.799,54.028,253.0,245.0,277.0,229.0,False,MEDIUM,4.0,True,Alpine,1,SQ
GAS,10,93.405,11.0,2.0,24.447,28.255,40.703,284.0,274.0,253.0,317.0,True,MEDIUM,5.0,True,Alpine,1,SQ
GAS,10,92.888,14.0,3.0,24.293,27.84,40.755,281.0,277.0,253.0,313.0,True,SOFT,2.0,True,Alpine,1,SQ
LAW,30,94.722,2.0,1.0,24.917,28.72,41.085,287.0,287.0,262.0,320.0,True,MEDIUM,2.0,True,Racing Bulls,1,SQ
LAW,30,115.245,3.0,1.0,29.477,36.231,49.537,230.0,223.0,277.0,264.0,False,MEDIUM,3.0,True,Racing Bulls,1,SQ
LAW,30,94.4,4.0,1.0,24.813,28.58,41.007,291.0,286.0,264.0,319.0,True,MEDIUM,4.0,True,Racing Bulls,1,SQ
LAW,30,132.042,5.0,1.0,31.868,37.291,62.883,223.0,231.0,277.0,173.0,False,MEDIUM,5.0,True,Racing Bulls,1,SQ
LAW,30,94.11,6.0,1.0,24.84,28.492,40.778,292.0,286.0,263.0,319.0,True,MEDIUM,6.0,True,Racing Bulls,1,SQ
LAW,30,93.914,9.0,2.0,24.667,28.49,40.757,294.0,283.0,266.0,320.0,True,MEDIUM,2.0,True,Racing Bulls,1,SQ
LAW,30,114.616,10.0,2.0,28.876,35.359,50.381,191.0,216.0,240.0,234.0,False,MEDIUM,3.0,True,Racing Bulls,1,SQ
LAW,30,117.7,11.0,2.0,28.866,32.897,55.937,246.0,249.0,278.0,260.0,False,MEDIUM,4.0,True,Racing Bulls,1,SQ
LAW,30,93.714,12.0,2.0,24.645,28.293,40.776,290.0,281.0,269.0,316.0,True,MEDIUM,5.0,True,Racing Bulls,1,SQ
BOR,5,104.833,2.0,1.0,27.441,31.167,46.225,265.0,253.0,274.0,250.0,True,MEDIUM,2.0,True,Audi,1,SQ
BOR,5,94.646,3.0,1.0,24.774,28.868,41.004,286.0,284.0,259.0,321.0,True,MEDIUM,3.0,True,Audi,1,SQ
BOR,5,123.914,4.0,1.0,34.008,38.815,51.091,199.0,208.0,277.0,253.0,False,MEDIUM,4.0,True,Audi,1,SQ
BOR,5,98.344,5.0,1.0,24.748,28.523,45.073,286.0,285.0,193.0,309.0,False,MEDIUM,5.0,True,Audi,1,SQ
BOR,5,119.614,6.0,1.0,36.541,36.44,46.633,198.0,245.0,275.0,252.0,False,MEDIUM,6.0,True,Audi,1,SQ
BOR,5,94.291,7.0,1.0,24.712,28.612,40.967,286.0,285.0,256.0,321.0,True,MEDIUM,7.0,True,Audi,1,SQ
BOR,5,114.784,10.0,2.0,27.269,32.087,55.428,268.0,259.0,275.0,173.0,True,MEDIUM,2.0,True,Audi,1,SQ
BOR,5,93.774,11.0,2.0,24.568,28.445,40.761,287.0,284.0,257.0,321.0,True,MEDIUM,3.0,True,Audi,1,SQ
BOR,5,129.285,12.0,2.0,33.709,39.273,56.303,161.0,190.0,276.0,253.0,False,MEDIUM,4.0,True,Audi,1,SQ
BOR,5,96.574,13.0,2.0,24.575,28.28,43.719,285.0,280.0,242.0,316.0,False,MEDIUM,5.0,True,Audi,1,SQ
HAD,6,94.447,2.0,1.0,24.982,28.646,40.819,285.0,281.0,255.0,320.0,True,MEDIUM,2.0,True,Red Bull Racing,1,SQ
HAD,6,127.048,3.0,1.0,37.284,37.842,51.922,201.0,241.0,278.0,148.0,False,MEDIUM,3.0,True,Red Bull Racing,1,SQ
HAD,6,94.727,4.0,1.0,24.906,28.645,41.176,286.0,280.0,259.0,319.0,False,MEDIUM,4.0,True,Red Bull Racing,1,SQ
HAD,6,124.676,5.0,1.0,36.706,36.672,51.298,211.0,233.0,279.0,192.0,False,MEDIUM,5.0,True,Red Bull Racing,1,SQ
HAD,6,94.476,6.0,1.0,24.939,28.503,41.034,287.0,282.0,255.0,315.0,False,MEDIUM,6.0,True,Red Bull Racing,1,SQ
HAD,6,93.62,9.0,2.0,24.65,28.477,40.493,286.0,281.0,267.0,321.0,True,MEDIUM,2.0,True,Red Bull Racing,1,SQ
HAD,6,126.555,10.0,2.0,38.237,36.368,51.95,200.0,214.0,278.0,202.0,False,MEDIUM,3.0,True,Red Bull Racing,1,SQ
HAD,6,94.012,11.0,2.0,24.793,28.543,40.676,283.0,276.0,277.0,315.0,False,MEDIUM,4.0,True,Red Bull Racing,1,SQ
HAD,6,93.723,14.0,3.0,24.478,28.236,41.009,281.0,272.0,262.0,299.0,True,SOFT,2.0,True,Red Bull Racing,1,SQ
OCO,31,107.762,2.0,1.0,27.666,32.596,47.5,281.0,269.0,275.0,260.0,True,MEDIUM,2.0,True,Haas F1 Team,1,SQ
OCO,31,94.515,3.0,1.0,24.807,28.505,41.203,276.0,273.0,255.0,308.0,True,MEDIUM,3.0,True,Haas F1 Team,1,SQ
OCO,31,125.229,4.0,1.0,31.258,36.307,57.664,224.0,202.0,240.0,166.0,False,MEDIUM,4.0,True,Haas F1 Team,1,SQ
OCO,31,119.813,5.0,1.0,29.096,37.007,53.71,232.0,203.0,274.0,280.0,False,MEDIUM,5.0,True,Haas F1 Team,1,SQ
OCO,31,94.087,6.0,1.0,24.802,28.248,41.037,278.0,278.0,260.0,311.0,True,MEDIUM,6.0,True,Haas F1 Team,1,SQ
OCO,31,93.639,9.0,2.0,24.553,28.184,40.902,276.0,273.0,256.0,312.0,True,MEDIUM,2.0,True,Haas F1 Team,1,SQ
OCO,31,122.648,10.0,2.0,30.264,36.393,55.991,208.0,187.0,194.0,176.0,False,MEDIUM,3.0,True,Haas F1 Team,1,SQ
OCO,31,116.818,11.0,2.0,32.652,36.161,48.005,192.0,255.0,277.0,263.0,False,MEDIUM,4.0,True,Haas F1 Team,1,SQ
OCO,31,93.827,12.0,2.0,24.598,28.141,41.088,275.0,275.0,258.0,305.0,False,MEDIUM,5.0,True,Haas F1 Team,1,SQ
COL,43,95.689,2.0,1.0,25.194,28.929,41.566,282.0,272.0,252.0,320.0,True,MEDIUM,2.0,True,Alpine,1,SQ
COL,43,127.337,3.0,1.0,34.961,39.794,52.582,176.0,193.0,186.0,128.0,False,MEDIUM,3.0,True,Alpine,1,SQ
COL,43,121.557,4.0,1.0,32.401,34.788,54.368,261.0,239.0,277.0,121.0,False,MEDIUM,4.0,True,Alpine,1,SQ
COL,43,94.592,5.0,1.0,24.758,28.687,41.147,284.0,274.0,253.0,316.0,True,MEDIUM,5.0,True,Alpine,1,SQ
COL,43,94.759,8.0,2.0,25.121,28.661,40.977,283.0,273.0,253.0,321.0,True,MEDIUM,2.0,True,Alpine,1,SQ
COL,43,128.576,9.0,2.0,38.303,38.639,51.634,189.0,249.0,175.0,299.0,False,MEDIUM,3.0,True,Alpine,1,SQ
COL,43,120.559,10.0,2.0,37.559,35.777,47.223,237.0,244.0,278.0,267.0,False,MEDIUM,4.0,True,Alpine,1,SQ
COL,43,94.327,11.0,2.0,24.681,28.7,40.946,283.0,271.0,254.0,318.0,True,MEDIUM,5.0,True,Alpine,1,SQ
ALB,23,106.223,2.0,1.0,26.304,30.911,49.008,289.0,272.0,275.0,271.0,True,MEDIUM,2.0,True,Williams,1,SQ
ALB,23,95.305,3.0,1.0,24.828,29.03,41.447,286.0,271.0,257.0,325.0,True,MEDIUM,3.0,True,Williams,1,SQ
ALB,23,133.41,4.0,1.0,35.451,38.924,59.035,226.0,164.0,276.0,304.0,False,MEDIUM,4.0,True,Williams,1,SQ
ALB,23,105.327,5.0,1.0,24.919,28.949,51.459,285.0,272.0,275.0,270.0,False,MEDIUM,5.0,True,Williams,1,SQ
SAI,55,110.164,2.0,1.0,25.774,30.537,53.853,281.0,240.0,277.0,257.0,True,MEDIUM,2.0,True,Williams,1,SQ
SAI,55,94.945,3.0,1.0,24.806,28.785,41.354,285.0,275.0,255.0,325.0,True,MEDIUM,3.0,True,Williams,1,SQ
SAI,55,133.658,4.0,1.0,36.923,40.093,56.642,206.0,210.0,276.0,271.0,False,MEDIUM,4.0,True,Williams,1,SQ
SAI,55,94.761,5.0,1.0,24.801,28.792,41.168,286.0,275.0,256.0,321.0,True,MEDIUM,5.0,True,Williams,1,SQ
ALO,14,96.172,2.0,1.0,25.289,28.936,41.947,274.0,267.0,252.0,304.0,True,MEDIUM,2.0,True,Aston Martin,1,SQ
ALO,14,118.65,3.0,1.0,33.556,33.621,51.473,243.0,238.0,271.0,273.0,False,MEDIUM,3.0,True,Aston Martin,1,SQ
